Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
42.4776 18.2435 8.53 16.91 35.21 27.26 0.3 0.24 0.001 0.59 0.59 0.99 ABHA_GPS
37.8094 8.9921 -1.83 6.1 24.02 17.52 0.34 0.32 0.0 1.38 1.31 0.88 ABOO_GPS
45.0399 12.8123 11.33 18.54 38.97 27.58 0.8 0.7 0.003 1.52 2.31 3.0 ADEN_GPS
36.3777 26.4583 1.96 12.99 28.55 24.56 0.46 0.42 0.003 0.11 0.18 3.0 ALWJ_GPS
41.0346 30.951 -0.61 15.98 26.36 26.65 0.24 0.27 0.001 -0.65 -0.65 2.0 ARRA_GPS
42.9038 18.5392 8.44 18.45 35.17 28.7 0.36 0.5 0.001 0.39 0.39 0.86 AS01_GPS
42.5984 19.9772 6.66 17.34 33.49 27.66 0.47 0.48 0.001 0.21 0.21 1.66 AS02_GPS
43.5293 19.5107 7.56 17.63 34.41 27.74 0.47 0.45 0.001 0.81 0.81 1.62 AS03_GPS
42.8187 19.4391 7.69 17.57 34.49 27.84 0.31 0.26 0.001 0.35 0.35 2.13 AS06_GPS
43.2893 18.8948 7.02 18.03 33.8 28.19 0.44 0.42 0.001 0.38 0.38 0.74 AS94_GPS
42.2754 19.5485 7.73 17.04 34.51 27.43 0.82 0.88 0.001 1.42 1.42 1.11 AS99_GPS
42.6544 13.0629 14.05 17.95 39.39 27.74 0.38 0.38 0.008 0.1 -0.41 3.0 ASAB_GPS
37.924 26.6098 2.4 14.32 29.13 25.67 0.2 0.21 0.001 1.97 1.97 0.89 AULA_GPS
41.4682 20.0135 7.29 16.57 34.05 27.15 0.37 0.3 0.001 0.51 0.51 1.49 BAHA_GPS
50.6081 26.2091 3.44 21.68 31.1 30.13 0.2 0.24 0.004 -0.2 1.67 3.0 BAHR_GPS
42.3641 27.9141 1.8 17.21 28.92 27.58 0.28 0.29 0.001 2.86 2.86 1.44 BAQA_GPS
37.3597 11.5998 -3.78 5.76 23.47 17.08 0.4 0.43 -0.001 0.19 1.04 3.0 BDMT_GPS
35.6721 28.5252 0.77 12.39 27.27 24.2 0.5 0.83 0.001 -0.76 -0.76 2.34 BEJD_GPS
41.0434 20.294 6.54 15.87 33.29 26.54 0.54 0.6 0.001 -0.25 -0.25 1.79 BH99_GPS
41.5297 18.2083 7.99 16.42 34.62 26.98 0.34 0.4 0.001 -0.0 -0.0 1.24 BIRK_GPS
42.6887 20.2535 7.72 17.68 34.57 27.98 0.35 0.32 0.001 0.52 0.52 1.66 BSHA_GPS
43.955 26.3512 2.62 18.21 29.84 28.22 0.28 0.27 0.001 -0.16 -0.16 0.54 BURD_GPS
42.3462 12.7031 14.67 18.26 40.43 28.64 0.71 0.67 0.002 3.88 1.85 4.66 DEBA_GPS
37.8939 13.1505 -1.72 6.27 24.67 17.58 0.36 0.32 -0.001 0.74 1.02 0.84 DEBK_GPS
44.392 14.571 12.42 19.71 37.69 27.84 0.59 0.54 0.002 2.06 2.06 3.0 DHMR_GPS
49.9692 26.8331 2.53 21.9 30.2 30.46 0.49 0.46 0.001 0.54 0.54 1.61 ES01_GPS
49.3082 27.3135 2.92 21.1 30.56 29.82 0.41 0.43 0.002 0.05 0.05 1.21 ES02_GPS
50.5227 25.2765 3.81 23.06 31.45 31.48 0.66 0.56 0.001 1.78 1.78 1.58 ES04_GPS
51.4409 24.5713 4.26 22.55 31.92 30.74 0.48 0.4 0.001 3.1 3.1 1.15 ES05_GPS
47.1623 28.9895 1.91 18.12 29.43 27.37 0.51 0.46 0.001 -0.01 -0.01 1.84 ES06_GPS
45.963 28.4311 0.64 18.56 28.06 28.09 0.32 0.37 0.001 0.23 0.23 1.36 ES07_GPS
47.6818 27.5118 3.72 20.33 31.25 29.45 0.59 0.62 0.001 -2.73 -2.73 1.52 ES08_GPS
49.4963 24.8934 2.94 21.01 30.5 29.69 0.44 0.44 0.001 3.12 3.12 1.49 ES09_GPS
48.9642 23.2988 5.54 21.47 32.98 30.28 0.54 0.56 0.001 1.16 1.16 1.45 ES10_GPS
50.186 22.9068 6.39 21.25 33.87 29.76 0.37 0.36 0.0 1.49 1.49 1.07 ES11_GPS
48.5081 27.4639 3.01 20.67 30.6 29.59 0.6 0.61 0.001 -1.59 -1.59 1.66 ES19_GPS
44.8933 27.8617 1.96 17.69 29.28 27.48 0.62 0.73 0.001 -0.68 -0.68 1.71 ES20_GPS
49.5658 25.3558 3.13 21.08 30.72 29.74 0.32 0.29 0.001 0.5 0.5 1.11 ES96_GPS
48.8339 25.8489 3.27 21.19 30.83 30.03 0.48 0.48 0.001 -0.11 -0.11 1.43 ES97_GPS
49.5308 26.2653 3.09 21.32 30.71 29.99 0.75 0.74 0.001 0.14 0.14 1.52 ES99_GPS
41.8583 9.6131 2.68 4.53 28.41 15.42 0.35 0.27 0.008 0.09 1.99 3.0 ETDD_GPS
41.3828 19.0426 9.02 17.29 34.19 26.9 1.25 1.18 0.001 0.11 1.19 3.0 GOOZ_GPS
42.543 16.8808 8.44 17.1 34.97 27.07 0.96 0.36 0.001 -1.38 -2.87 2.1 GZAN_GPS
41.6967 27.5218 1.02 16.27 28.08 26.79 0.22 0.2 0.001 1.55 1.55 0.78 HAIL_GPS
36.0999 29.1389 0.21 12.0 26.68 24.08 0.27 0.27 0.003 0.11 0.97 3.0 HALY_GPS
34.9428 29.2992 -2.33 10.72 24.08 22.68 0.29 0.32 0.002 -0.67 -0.67 0.51 HAQE_GPS
34.9284 29.0553 -0.49 11.25 25.93 23.21 0.23 0.24 0.002 -0.65 -0.65 0.51 HAQS_GPS
41.1795 27.3707 1.55 16.54 28.56 27.18 0.58 0.58 0.001 -1.35 -1.35 0.81 HL01_GPS
42.903 28.2409 1.06 17.74 28.22 27.99 0.63 0.6 0.001 2.47 2.47 2.56 HL02_GPS
43.0129 27.0695 3.49 18.13 30.65 28.35 0.38 0.45 0.001 2.18 2.18 1.35 HL03_GPS
41.4924 26.8745 3.02 15.67 30.06 26.24 0.39 0.6 0.001 -0.57 -0.57 0.39 HL05_GPS
43.171 27.6073 2.97 19.06 30.15 29.25 0.34 0.34 0.001 0.37 0.37 0.91 HL06_GPS
42.2343 26.5749 2.14 17.31 29.23 27.71 0.34 0.41 0.001 1.21 1.21 0.9 HL95_GPS
42.1817 27.0292 1.22 16.35 28.31 26.76 0.2 0.2 0.001 1.23 1.23 0.42 HL96_GPS
42.4779 27.4327 2.08 17.48 29.2 27.82 0.49 0.45 0.001 2.18 2.18 1.5 HL97_GPS
35.0623 29.3004 -0.51 10.67 25.92 22.61 0.32 0.36 0.001 -0.65 -0.65 0.51 HQLS_GPS
44.438 33.341 -2.37 17.97 25.04 28.32 0.34 0.4 0.001 -0.51 -0.39 2.57 ISBA_GPS
44.011 36.16 -3.76 18.1 23.7 28.58 0.51 0.5 0.0 0.14 0.2 1.84 ISER_GPS
44.353 32.013 -1.72 17.81 26.02 28.09 0.43 0.34 0.001 -0.79 -0.79 1.99 ISNA_GPS
43.673 34.601 -2.7 19.33 24.04 27.78 0.64 0.65 0.001 -0.31 -0.69 2.22 ISSD_GPS
39.631 21.3692 6.5 15.2 32.77 26.13 0.46 0.34 -0.0 0.1 0.03 3.0 JEDD_GPS
42.1036 16.6992 9.31 16.44 35.55 27.08 0.52 0.45 0.002 0.18 2.36 3.0 JIZN_GPS
43.4358 13.3169 14.4 18.55 40.34 28.68 0.61 0.54 0.002 1.99 1.99 3.0 JNAR_GPS
40.1976 29.9618 -0.32 15.56 26.59 26.41 0.49 0.41 0.001 1.69 1.69 1.42 JOUF_GPS
40.0197 29.7771 0.72 15.16 27.62 26.05 0.44 0.47 0.001 -0.37 -0.37 1.18 JW01_GPS
41.4432 29.2506 0.33 17.15 27.37 27.73 0.4 0.28 0.001 -1.3 -1.3 1.21 JW02_GPS
38.4268 29.7778 -0.01 13.33 26.74 24.57 0.46 0.49 0.001 2.58 2.58 1.23 JW03_GPS
37.0957 31.4255 -3.09 13.21 23.48 24.73 0.5 0.46 0.001 0.72 0.72 0.8 JW04_GPS
39.2889 29.9153 0.76 14.01 27.59 25.06 0.34 0.54 0.001 -0.92 -0.92 1.54 JW05_GPS
41.8211 16.829 9.58 15.77 36.1 26.27 0.54 0.44 0.001 -0.91 -0.91 0.65 JZ02_GPS
42.2269 17.6403 8.57 15.97 35.19 26.38 0.48 0.45 0.001 -1.32 -1.32 1.03 JZ03_GPS
42.6795 17.4915 8.95 17.66 35.58 27.96 0.69 0.54 0.001 -1.95 -1.95 2.2 JZ04_GPS
48.4608 28.484 1.93 19.91 29.54 28.84 0.44 0.39 0.002 -1.37 -1.37 2.83 KAFJ_GPS
47.971 29.325 0.75 20.37 28.33 29.17 0.4 0.34 0.004 -0.21 -0.21 3.0 KUWT_GPS
41.8291 19.0962 5.74 15.66 34.28 27.14 1.16 1.09 0.001 0.11 1.26 3.0 MAJR_GPS
42.1838 12.4159 14.76 16.35 40.14 26.76 1.44 1.4 0.003 1.06 1.84 3.0 MAN2_GPS
